Defect,Para01,Para02,Para03,Para04,Para05,Para06,Para07,Para08,Para09,Para10,Para11,Para12,Para13,Para14,Para15,Para16,Para17,Para18,Para19,Para20,Para21,Para22,Para23,Para24,Para25,Para26,Para27,Para28,Para29,Para30,Para31,Para32,Para33,Para34,Para35,Para36,Para37,Para38,Para39,Para40,Para41,Para42,Para43,Para44,Para45,Para46,Para47,Para48,Para49,Para50,Para51,Para52,Para53,Para54,Para55,Para56,Para57,Para58,Para59,Para60,Para61,Para62,Para63,Para64,Para65,Para66,Para67,Para68,Para69,Para70,Para71
OK,18.65,100.13,54.54,21.74,117.78,11.31,29.91,111.41,11.33,19.57,105.9,11.42,15.93,119.8,11.42,13.16,113.68,11.42,10.12,74.96,0.2205,17,70.22,97.05,12.65,115.02,-6.218,24.3,85.35,0.044,21.7,132.13,0.066,10.59,109.35,0.066,29.66,102.09,0.069,10.99,99.4,0.046,25.4,110.47,0.18,11.86,127.43,0.225,20.25,107.9,0.395,23.32,104.1,0.19,29.41,85.59,0.222,10.91,107.61,23.09,24.19,113.75,22.97,13.48,69.19,23.16,10.85,105.16,23.07,28.96,22.93
OK,12.76,136.58,54.21,18.33,93.89,11.33,10.42,99.48,11.35,16.76,75.42,11.4,14.75,129.92,11.4,10.88,85.73,11.4,18.61,55.13,0.2203,16.26,120.18,-9.15,18.44,132.38,-35.201,24.48,101.37,0.046,16.52,80.68,0.061,29.24,137.12,0.086,20.04,120.39,0.064,17.9,107.44,0.037,14.76,107.57,0.284,24.41,101.75,0.215,20.3,97.08,0.326,12.47,98.44,0.202,22.43,121.52,0.254,22.87,70.26,23.1,22.86,85.76,22.99,15.55,120.11,23.13,15.96,109.32,23.1,17.01,22.91
OK,27.35,99.28,54.2,12.54,115.27,11.33,22.26,111.45,11.31,16.01,107.1,11.42,20.79,98.27,11.45,24.47,85.19,11.45,17.63,111.67,0.2201,24.66,131.85,1.83,21.67,101.78,-45.273,23.22,121.89,0.051,27.53,97.28,0.061,24.94,75.54,0.054,29.74,93.57,0.049,10.54,124.36,0.059,10.19,139.89,0.195,12.55,98.62,0.18,28.23,113.64,0.267,26.98,135.7,0.192,10.72,75.61,0.262,11.23,66.28,23.08,21.49,98.2,23.02,24.18,89.46,23.14,16.05,111.83,23.07,22.39,22.93
OK,29.16,59.98,54.31,18.98,86.68,11.31,24.89,78.95,11.35,22.39,121.06,11.47,26.21,117.1,11.4,26.77,69.74,11.45,16.41,83.14,0.2208,27.69,133.56,-23.19,12.78,93.68,-42.6,25.07,66.28,0.054,17.51,101.96,0.064,27.04,127.45,0.056,14.84,85.88,0.044,19.77,75.44,0.054,13.43,102.2,0.326,15.81,87.65,0.244,22.19,139.35,0.316,29.12,70.26,0.197,26.64,98.68,0.217,26.5,122.59,23.05,14,99.51,23,26.7,128.16,23.18,28.57,87.35,23.08,11.41,22.95
OK,14.26,90.94,53.43,12.9,111.25,11.33,27.28,116.13,11.35,21.57,125.83,11.42,16.02,103.43,11.42,21.54,107.24,11.42,20.26,94.23,0.2203,21.16,117.78,26.85,21.43,114.27,-34.995,29.59,115.15,0.046,11.06,69.81,0.066,22.05,126.19,0.069,24.76,89.83,0.049,21.2,93.73,0.046,11.39,122,0.257,19.83,118.79,0.247,28.7,124.69,0.314,25.5,75.04,0.222,26.62,126.73,0.274,28.31,64.97,23.08,22.5,110.45,23,22.2,107.03,23.14,27.88,97.53,23.08,27.01,22.94
OK,26.53,97.64,54.12,20.71,45.88,11.3,26.72,97.61,11.31,17.93,63.83,11.42,16.86,108.3,11.42,21.53,93.82,11.4,22.98,120.76,0.2203,10.68,97.37,96.44,17.06,98.63,23.433,27.86,124.91,0.051,28.71,56.27,0.079,15.05,116.93,0.066,20.44,104.51,0.046,15.04,80.21,0.049,13.57,102.49,0.281,14.13,129.14,0.195,29.17,93.25,0.276,26.7,64.12,0.207,20.23,101.69,0.279,26.45,105.06,23.06,28.18,126.91,22.98,13.87,114.39,23.16,14.72,93.99,23.1,10.82,22.93
OK,10.18,98.69,54.11,13.84,104.73,11.33,12.12,97.38,11.33,13.09,80.53,11.45,18.95,114.04,11.42,13.01,117.53,11.42,21.65,105.55,0.2202,15.17,80.62,28.68,14.03,81.6,1.696,23.88,99.5,0.044,26.5,126.53,0.076,16.24,71.68,0.069,19.4,82.12,0.064,27.08,97.08,0.049,10.14,102.77,0.227,21.79,123.14,0.227,25.31,109.92,0.323,16.4,121.96,0.197,19.35,80.26,0.279,15.9,70.84,23.06,14.23,74,23.03,28.6,74.17,23.15,27.05,92.09,23.07,28.98,22.9
OK,27.07,114.69,54.2,29.75,78.81,11.33,21.17,100.72,11.32,20.76,74.35,11.4,23.33,92.25,11.42,28.36,114.18,11.45,29.42,105.03,0.2205,14.47,90.78,72.63,16.24,105.93,-24.204,25.88,75.33,0.056,27.41,100.48,0.069,25.44,109.47,0.074,28.61,98.83,0.079,12.96,62.89,0.049,21.02,97.22,0.17,25.01,111.37,0.254,22.58,98.02,0.257,15.74,97.82,0.19,16.41,57.16,0.264,15.97,102.04,23.11,24.24,103.54,23,20.72,86.47,23.16,19.02,108.84,23.09,29.7,22.93
OK,26.05,89.01,54.38,13.97,76.02,11.35,13.4,89.07,11.33,10.44,107,11.42,25.13,116.96,11.45,20.85,114.31,11.42,28.4,112.96,0.2208,26.25,85.01,75.07,10.21,72.05,-42.96,23.95,73.36,0.061,28.43,82.83,0.056,17.68,84.63,0.051,23.36,52.18,0.042,24.68,98.58,0.054,28.3,108.44,0.321,11.95,90.63,0.192,24.07,90.4,0.304,10.03,92.55,0.242,13.23,105.67,0.234,15.85,127.88,23.11,27.48,135.25,23,24.29,119.81,23.18,10.4,128.53,23.08,12.88,22.94
OK,28.83,107.64,53.34,16.31,97.14,11.33,11.61,131.63,11.35,20.73,92.29,11.45,15.98,102.74,11.42,26.32,77.69,11.42,14.69,100.32,0.2203,16.37,138.21,69.58,11.5,101.89,-35.252,26.14,116.9,0.071,24.02,80,0.061,26.76,101.1,0.064,24.89,87.02,0.044,15.3,101.9,0.066,29.86,99.25,0.197,14.61,90.35,0.291,10.12,97.2,0.276,28.73,117.79,0.192,19.32,97.58,0.239,29.29,124.28,23.1,13.89,80.37,23,17.53,98.93,23.14,20.52,80.26,23.07,28.35,22.94
OK,26.47,107.17,53.36,26.82,106.86,11.34,27.34,100.45,11.33,24.41,107.25,11.42,12.66,135.37,11.42,24.83,108.81,11.42,26.78,105.17,0.2204,12.94,101.86,76.29,21.29,128.77,-36.075,10.34,117.58,0.056,10.26,74.89,0.066,29.01,93.35,0.066,10.31,79.71,0.081,23.6,88.67,0.056,21.5,97.96,0.242,19.37,116.55,0.16,14.87,90.31,0.264,26.43,103.91,0.22,22.91,97.43,0.212,28.26,118.65,23.1,22.14,64.8,22.97,25.38,150.66,23.16,29.32,89.21,23.09,17.95,22.95
OK,15.95,103.57,53.48,24.83,70.73,11.34,18.66,90.97,11.33,25.34,139.17,11.42,15.65,79.36,11.4,21.48,125.8,11.45,29.56,94.79,0.2203,24.24,114.29,68.36,16.2,106.69,27.184,14.41,64.76,0.051,27.3,90.53,0.059,24.39,106.59,0.039,17.47,108.11,0.051,27.69,85.06,0.044,24.01,61.84,0.244,20.14,117.43,0.185,27.52,88.49,0.247,24.54,77.92,0.205,24.92,97.12,0.234,27.26,75.19,23.09,24.35,109.49,23.03,24.35,60.24,23.2,24.72,135.16,23.12,10.05,22.95
OK,10.43,108.54,54.16,13.89,69.76,11.33,27.57,91.53,11.35,26.56,78.49,11.42,15.98,69.29,11.42,17.49,95.44,11.4,14.96,65.04,0.2201,22.79,108.36,80.57,22.95,99.87,-46.814,28.38,81.26,0.059,28.29,89.6,0.076,22.5,141,0.081,16.44,89.94,0.046,28.88,104.28,0.054,23.22,86.98,0.262,18.15,109.77,0.195,24.14,74.66,0.281,11.8,66.71,0.2,16.06,64.73,0.217,27.95,81,23.05,14.66,106.66,22.99,21.32,113.98,23.18,13.66,108.26,23.08,12.83,22.93
OK,27.04,98.32,54.18,27.53,103.95,11.33,12.76,102.06,11.33,18.76,87.09,11.42,28.04,99.65,11.42,29.28,120.95,11.42,28.59,105.24,0.2204,11.02,93.68,15.87,14.29,77.51,-40.904,23.53,92.45,0.049,24.64,123.24,0.059,17.88,107.13,0.056,10.3,117.71,0.064,14.39,55.33,0.051,20.07,122.46,0.252,29.2,86.24,0.187,18.02,113.4,0.232,13.86,97.21,0.205,20.37,98.47,0.237,15.2,64.96,23.05,16.14,75.56,23.02,25.18,82.74,23.17,10.66,107.63,23.07,10.16,22.94
OK,29.7,93.04,67.16,17.36,79.98,11.33,22.31,81.75,11.33,29.27,129.69,11.42,22.38,119.75,11.45,10.39,93.64,11.42,20.78,107.26,0.2205,12.19,100.73,56.76,27.17,70.46,-13.669,17.43,75.22,0.056,21.58,92.62,0.064,13.51,79.59,0.066,29.51,109.42,0.074,23.29,101.12,0.054,26.98,88.87,0.21,12.54,102.01,0.197,21.26,97.43,0.294,11.06,83.95,0.192,15.18,103.24,0.294,16.24,91.14,23.07,15.31,113.37,22.95,18.91,83.55,23.15,12.58,82.79,23.1,11.51,22.96
OK,19.6,73.27,61.36,10.88,56.37,11.3,18.84,133.9,11.35,21.87,104.36,11.42,12.44,91.45,11.42,20.22,101.1,11.4,15.06,63.37,0.2204,25.64,128.28,12.81,16.43,99.55,-36.486,25.9,132.82,0.056,16.34,88.69,0.054,16.23,102.59,0.054,20.58,96.46,0.064,29.23,82.4,0.051,28.65,96.68,0.227,28.74,125.47,0.178,12.05,126.05,0.326,25.09,83.02,0.2,13.74,61.27,0.239,23.59,98.36,23.08,24.39,79.39,23,28.45,122.11,23.15,16.58,68.76,23.09,22.25,22.91
OK,27.7,40.54,53.37,12.35,115.94,11.33,29.62,150.85,11.33,11.02,104.18,11.4,10.93,100.07,11.4,29.84,146.19,11.4,21.79,99.58,0.2202,16.08,134.71,1.22,29.88,132.75,-25.745,11.52,103.22,0.054,25.41,49.3,0.059,20.84,69.36,0.049,22.03,102.61,0.049,25.45,59.63,0.064,26.27,93.93,0.427,12.05,79.73,0.195,12.71,127.13,0.311,19.71,66.92,0.22,24.23,147.96,0.21,22.41,72.35,23.08,16.07,99.69,22.98,26.7,138.68,23.17,19.15,78.1,23.09,15.81,22.92
OK,10.87,110.7,53.4,14.35,82.09,11.3,14.01,105.71,11.33,26.94,119.89,11.45,16.13,95.65,11.4,23.43,79.82,11.45,17.09,128.97,0.2206,27.67,119.76,1482.02,17.52,100.01,-57.349,26.97,67.95,0.046,13.53,75.73,0.066,19.31,85,0.054,11.57,134.95,0.056,18.3,112.75,0.046,27.26,117.18,0.378,22.97,105.57,0.361,26.03,116.44,0.271,26.99,93.77,0.192,11.91,88.76,0.254,14.47,95.5,23.09,14.4,104.38,22.99,11.01,120.38,23.17,19.36,82.92,23.07,14.61,22.94
OK,18.62,87.02,53.28,25.17,130.8,11.31,15.53,101.79,11.31,13.08,102.04,11.45,22.3,130.19,11.4,29.41,120.11,11.42,27.94,62.11,0.2204,29.32,105.3,68.97,22.54,108.99,-46.506,14.5,133.75,0.061,25.95,75.08,0.071,10.02,102.78,0.051,20.8,112.1,0.066,19.16,84.74,0.037,10.15,89.52,0.262,13.78,88.05,0.17,21.1,127.77,0.232,10.99,114.53,0.195,29.95,118.98,0.249,25.13,114.05,23.09,23.62,71.67,23.03,12.77,88.52,23.16,25.99,86.82,23.09,10.34,22.91
OK,26.54,110.72,53.26,19.87,99,11.34,10.12,107.35,11.33,20.15,113.34,11.42,15.02,84.66,11.42,14.45,129.53,11.42,17.89,64.97,0.2206,22.64,101.89,-20.75,10.55,127.2,-56.681,29.59,85.87,0.054,27.88,81.34,0.066,10.53,117.92,0.046,14.59,124.05,0.054,25.45,122.39,0.074,22.05,134.95,0.22,25.72,79.27,0.222,26.58,111.51,0.259,21.58,117.42,0.217,23.8,140.69,0.257,16.87,99.67,23.09,27.9,56.85,22.99,13.96,100.75,23.18,26.77,105.38,23.1,19.7,22.93
OK,25.71,111.42,54.28,23.27,90.5,11.33,11.63,90.33,11.35,28.97,91.5,11.42,21.99,95.22,11.42,11.15,109.91,11.42,26.53,107.84,0.2201,22.78,75.11,120.24,24.52,107.75,-6.269,12.41,84.39,0.061,12.61,109.21,0.059,13.09,103.13,0.061,28,105.7,0.081,27.23,103.76,0.061,25.89,78.34,0.333,26.69,100.24,0.21,14.02,77.48,0.326,17.4,88.47,0.215,22.12,127.27,0.234,14.55,63.99,23.06,10.25,97.56,22.99,16.42,108.42,23.15,21.12,88.02,23.05,22.05,22.92
OK,11.29,106.66,53.06,23.99,90.11,11.31,23.1,100.86,11.33,14.81,62.04,11.42,23.01,111.32,11.4,24.31,133.23,11.4,16.77,140.31,0.2208,29.72,114.86,9.76,27.02,102,-48.202,22.86,70.18,0.061,24.92,87.45,0.064,24.35,124.01,0.069,20.81,85.5,0.059,22.6,107.03,0.046,14.84,112.92,0.318,22.78,109.34,0.19,21.5,87.87,0.242,15.27,98.55,0.234,23.72,80.34,0.229,26.22,89.74,23.06,25.69,140.8,22.97,18.8,130.61,23.14,26.39,131.32,23.05,26.09,22.95
OK,11.7,109.98,54.06,16.38,101.42,11.33,27.92,74.52,11.33,17.5,91.96,11.42,20.7,103.18,11.45,13.76,88.36,11.45,21.57,112.97,0.2201,11.34,115.01,144.05,26.18,78.48,-20.966,23.28,116.02,0.049,12.36,64.5,0.066,11.41,92.81,0.051,11.91,76.6,0.049,21.56,82.09,0.056,21.7,108.68,0.264,12.63,131.46,0.165,20.82,89.97,0.304,10.83,58.92,0.197,29.83,78.33,0.237,10.3,83.48,23.09,11.28,97.83,22.97,13.81,111.36,23.16,13.72,76.42,23.1,26.61,22.92
OK,14.41,90.05,54.03,27.73,64.94,11.33,23.31,115.05,11.31,19.3,118.2,11.4,15.18,75.01,11.45,16.43,113.16,11.42,13.44,103.19,0.2204,27.39,120.81,155.64,29.89,112.22,18.294,25.2,98.72,0.056,19.15,102.06,0.064,21.55,107.58,0.042,12.19,55.59,0.056,11.73,94.68,0.059,13.27,105.89,0.383,21.5,84.87,0.19,13.49,136.02,0.259,20.66,110.92,0.197,23.34,91.01,0.239,23.82,103.68,23.08,23.07,69.52,22.94,26.14,85.82,23.15,23.24,88.44,23.08,21.67,22.93
OK,27.87,105.27,54.16,23.37,97.52,11.33,15.77,92.57,11.33,28.15,97.12,11.42,13.64,117.28,11.4,26.97,80.66,11.42,18.46,128.44,0.2205,23.19,109.95,91.55,23.71,80.27,-1.182,15.33,57.34,0.056,14.62,81.44,0.056,16.34,108.34,0.064,29.81,88.07,0.044,25.57,102.02,0.042,22.08,105,0.215,18.75,93.21,0.338,15.74,105.69,0.304,14.57,79.33,0.222,29.51,123.1,0.229,10.39,90.37,23.07,29.32,78.32,22.98,10.29,152.99,23.13,24.84,78.45,23.06,26.02,22.9
OK,24.08,120.77,54.12,14.27,83.07,11.33,13.67,82.3,11.43,18.05,70.61,11.42,26.2,72.78,11.42,13.12,106.26,11.42,11.2,73.05,0.2201,22.16,90.35,-6.1,23,61.6,-40.853,18.82,121.75,0.066,15.28,100.77,0.066,15.59,143.73,0.081,13.05,77.86,0.054,11.41,89.95,0.059,27.11,116.19,0.225,25.37,132.68,0.234,16.1,109.05,0.341,13.82,147.03,0.225,17.43,105.65,0.252,14.87,95.25,23.09,12.1,109.61,23,22.69,113.86,23.15,24.63,106.75,23.07,27.72,22.93
OK,10.25,90.85,54.13,12.04,103.19,11.31,29.39,64.55,11.33,26.42,122.04,11.42,26.08,95.93,11.42,18.47,119.83,11.42,24.39,110.54,0.2209,16.52,131.16,29.9,23.11,122.6,3.956,19.03,110.68,0.049,19.33,90.42,0.054,12.85,104.58,0.066,29.99,107.83,0.059,23.08,64.14,0.042,22.28,108.36,0.192,23.22,122.75,0.222,10.04,106.14,0.326,13.34,126.34,0.239,12.01,117.52,0.212,13.94,109.56,23.06,22.04,124.62,23.01,13.18,84.87,23.13,27.55,100.33,23.08,22.76,22.91
OK,23.38,90.38,54.15,19.19,72.5,11.35,25.26,95.86,11.31,13.87,80.31,11.42,13.52,87.08,11.42,19.66,68.53,11.45,14.54,68.84,0.2208,27.56,119.03,-37.84,10.4,93.77,-42.96,11.88,111.15,0.071,16.48,71.73,0.054,17.12,100.48,0.051,29.35,85.54,0.059,17.41,88.76,0.059,10.6,97.74,0.225,11.58,101.16,0.2,20.15,76.41,0.299,14.44,115.52,0.215,20.71,89.66,0.271,21.21,76.66,23.08,25.51,97.68,22.97,18.66,86.77,23.15,15.34,94.51,23.04,23.65,22.9
OK,15.32,96.09,54.18,25.19,63.86,11.31,14.66,94.91,11.29,23.09,119.02,11.45,12.38,80.6,11.42,20.68,88.63,11.4,29.34,73.74,0.2204,14.16,103.63,-14.03,15.66,91.15,-57.812,21.99,110.65,0.049,10.63,104.01,0.084,15.42,137.37,0.056,23.73,92.45,0.061,16.3,93.95,0.049,13.24,125.25,0.227,26.05,111.04,0.205,22.8,80.81,0.207,20.73,101.9,0.215,19.15,108.08,0.279,28.65,61.47,23.06,24.94,81.17,22.99,23.33,95.68,23.15,11.86,108.86,23.05,16.88,22.93
OK,19.19,42.16,54.16,13.49,103.31,11.31,16.81,132.16,11.33,26.96,94.84,11.42,14.32,75.35,11.4,13.59,120.24,11.42,14.02,88.6,0.2207,22.68,91.1,152.59,27.53,121.14,-31.86,23.03,107.07,0.056,27.65,108.46,0.071,12.85,82.61,0.061,16.5,130.16,0.061,21.62,60.1,0.056,21.26,78.67,0.222,22.41,104.23,0.205,18.51,75.72,0.318,17.43,102.43,0.222,12.23,81.69,0.234,27.93,69.42,23.07,29.53,85.24,22.99,26.43,98.83,23.12,23.26,112.54,23.05,15.04,22.9
OK,16.95,82.72,54.12,10.82,126.11,11.35,17.44,80.95,11.35,24.41,89.81,11.4,29.15,98.62,11.39,28.3,126.24,11.42,15.33,71.62,0.2203,29.2,97.28,-6.71,26.71,105.29,-33.197,11.62,136.73,0.051,17.64,128.27,0.071,10.65,81.59,0.069,23.24,119.62,0.056,26.57,89.48,0.054,12.13,112.69,0.358,27.55,139.63,0.276,21.2,84.94,0.316,19.6,45.87,0.18,22.23,78.31,0.249,11.99,102.09,23.07,19.62,98.58,22.96,19.28,78.66,23.12,10.74,126.88,23.09,26.34,22.89
OK,10.25,94.98,61.33,21.16,118.6,11.34,10.88,121.62,11.33,16.9,72.4,11.45,21.75,153.21,11.42,23.2,83.01,11.42,17.42,69.05,0.2203,11.33,124.68,-3.05,10.16,118.12,-35.046,23.32,76.32,0.054,23.98,67.62,0.066,12.44,78.39,0.074,23.78,78.73,0.061,23.19,118.35,0.044,11.79,106.82,0.279,11.99,110.2,0.215,27.23,110.53,0.328,15.7,95.5,0.229,14.06,121.38,0.237,23.37,58.51,23.09,14.15,123.19,22.97,21.32,118.64,23.16,15.35,92.89,23.06,27.38,22.89
OK,16.61,98.84,53.14,10.11,113.48,11.31,26.58,91.01,11.35,23.11,93.18,11.42,25.56,113.14,11.42,26.05,86.06,11.42,23.68,86.14,0.2204,18.27,130.59,104.98,20.76,99.22,-5.806,19.58,129.28,0.049,29.21,111.66,0.059,23.05,71.54,0.084,15.45,67.91,0.069,29.11,104.75,0.049,18.91,112.14,0.202,16.27,70.07,0.244,23.97,80.93,0.192,28.64,120,0.215,12.03,105.47,0.279,22.88,100.48,23.08,12.71,118.33,22.99,22.78,118.56,23.14,28.68,78.94,23.05,23.95,22.9
OK,16.64,130.42,116.16,11.09,116.04,11.35,22.48,132.61,11.31,15.99,98.05,11.45,19.95,110.02,11.45,13.49,107.42,11.42,27.6,123.55,0.2203,13.62,97.76,128.79,14.45,98.47,-16.392,29.74,85.11,0.044,19.44,81.93,0.059,18.52,99.14,0.086,13.46,84.09,0.046,17.34,81.95,0.046,26.59,110.58,0.271,21.46,92.14,0.227,11.15,105.1,0.328,16.97,108.46,0.207,16.29,117.57,0.271,27.46,82.14,23.08,24.52,91.79,23,21.16,96.48,23.14,27.88,87.29,23.04,27.15,22.87
OK,24.5,73.22,54.13,10.03,113.05,11.33,24.52,86.59,11.35,23.65,83.28,11.4,29.14,83.29,11.42,17.48,84.83,11.42,12.08,110.36,0.2198,11.75,80,120.85,12.48,111.19,-5.344,27.75,99.72,0.056,27.3,105.06,0.059,26.02,69.85,0.054,22.7,127.14,0.061,19.29,116.08,0.039,24.91,91.19,0.2,19.12,94.73,0.229,25.19,144.47,0.276,25.11,102.76,0.229,26.49,67.78,0.232,19.62,92.61,23.08,13.77,73.16,22.98,12.92,53.88,23.12,22.93,67.72,23.04,20.96,22.9
OK,20.56,73.06,54.16,29.49,101.64,11.33,20.87,68.43,11.35,18.51,127.33,11.42,21.78,85.17,11.42,11.81,95.08,11.42,28.94,85.94,0.2205,22.62,97.59,137.33,18,80.45,-27.236,27.87,99.98,0.051,29.45,92.04,0.064,21.92,76.21,0.061,17.76,85.14,0.064,19.51,85.74,0.059,13.87,116.53,0.2,21.09,79.59,0.182,10.8,104.25,0.341,21.84,90.02,0.192,15.8,93.03,0.281,17.64,73.84,23.08,23.78,58.86,22.97,10.06,85.5,23.16,15.9,68.8,23.01,12.72,22.88
OK,17.23,111.86,54.12,18.67,88.37,11.33,18.07,126.13,11.33,18.22,70.51,11.4,27.75,81.61,11.42,24,116.34,11.45,16.4,117.9,0.2206,23.51,79.15,103.76,11.2,76.39,-35.406,22.67,132.32,0.061,15,85.74,0.064,20.96,107.87,0.096,20.87,88.51,0.081,18.35,88.15,0.059,27.5,82.37,0.237,12.95,70.09,0.178,25.59,87.99,0.311,13.41,57.3,0.222,19.63,66.63,0.232,17.67,58.93,23.06,18.92,64.87,22.99,10.17,83.53,23.15,21.16,146.79,23.05,12.79,22.9
OK,19.32,136.14,54.02,13.84,104.73,11.31,13.69,89.16,11.33,24.49,83.79,11.45,20.37,86.59,11.42,20.05,93.63,11.42,19.96,94.11,0.2204,20.62,111.27,99.49,12.68,136.97,-33.504,20.52,75.54,0.064,28.3,102.6,0.051,25.65,110.41,0.056,27.53,78.11,0.044,16.68,107.61,0.056,17.54,114.44,0.323,27.55,88.06,0.185,28.57,76.07,0.301,29.87,117.02,0.225,23.7,84.35,0.217,18.73,121.8,23.08,25.82,81.52,23.02,28.84,106.97,23.17,22.73,62.64,23.07,17.39,22.91
OK,27.82,102.64,54.24,27.68,87.28,11.33,19.63,114.98,11.33,14.37,118.65,11.45,24.42,62.86,11.45,24.79,56.56,11.45,29.67,113.06,0.2204,27.97,93.99,123.9,20.66,113.31,28.623,10.96,81.98,0.064,20.82,87.2,0.064,18.1,78.24,0.064,14.35,84.25,0.061,15.81,143.8,0.059,17.01,115.71,0.232,13.82,81.31,0.207,19.95,116.77,0.291,19.55,70.11,0.22,15.36,91.7,0.239,23.89,81.66,23.05,25.74,109.94,22.95,23.6,108.46,23.14,26.73,78.13,23.07,16.06,22.89
OK,14,82.67,54.29,18.52,121.37,11.33,15.82,72.38,11.33,11.57,79.99,11.42,18.43,85.41,11.45,25.6,92.37,11.42,25.44,73.6,0.2204,10.56,39.96,64.09,17.15,72.52,-43.885,19.54,112.21,0.059,27.68,104.91,0.071,29.72,111.37,0.066,14.2,93.07,0.061,26.06,91.75,0.051,19.2,101.85,0.239,16.38,90.86,0.163,24.65,97.34,0.279,23.77,89.03,0.192,29.28,109,0.229,22.36,138.7,23.08,13.27,83.86,23,10.79,97.27,23.13,25.51,91.26,23.05,16.21,22.9
OK,29.6,109.28,60.43,14.08,129.73,11.3,19.33,110.35,11.35,11.7,94.28,11.4,14.48,65.95,11.42,20.03,114.13,11.42,25.06,95.54,0.2204,24.83,95.7,65.31,19.86,83.91,-2.004,21.98,65.38,0.066,23.6,85.34,0.054,28.81,104.12,0.074,15.42,78.28,0.049,17.68,105.59,0.049,11.4,111.75,0.279,26.76,103.1,0.271,22.65,92.23,0.289,21.27,82.13,0.232,25.39,99.19,0.21,21.09,92.57,23.11,16.9,97,23,22.67,83.78,23.14,28.53,114.15,23.08,27.15,22.92
OK,13.11,85.45,53.42,25.85,70.74,11.33,20.07,142.6,11.33,22.17,127.09,11.42,14.58,118.86,11.4,18.2,106.55,11.4,29.8,97.56,0.2206,22.58,122.09,120.24,26.81,91.51,-49.332,20.29,86.34,0.056,22.13,82.63,0.066,22.48,92.93,0.064,24.94,124.73,0.069,14.6,89.35,0.056,10.18,103.07,0.182,19.28,93.36,0.217,27.11,127.47,0.356,23.99,107.32,0.205,15.45,110.77,0.229,22.28,135.19,23.09,23.31,103.53,23,22.81,87.06,23.14,23.1,122.93,23.04,22.63,22.92
OK,21.03,74.67,53.42,19.12,131.98,11.31,20.21,91.71,11.17,21.73,105.82,11.45,23.5,112.27,11.42,20.49,113.9,11.42,19.73,103.5,0.2204,13.9,110.58,55.54,28.38,119.9,-25.591,18.37,115.07,0.051,10.09,67.27,0.064,23.93,93.61,0.074,15.87,106.27,0.051,20.99,97.37,0.046,28.36,105.68,0.274,15.43,71.67,0.271,27.48,68.96,0.227,12.31,57.9,0.187,25.97,92.82,0.242,19.57,75.38,23.08,25.47,107.54,23.01,26.95,114.74,23.14,23.48,108.91,23.07,25.66,22.9
OK,15.92,125.1,53.51,16.97,96.49,11.33,21.57,76.25,11.35,15.26,127.32,11.42,25.53,108.49,11.42,27.01,98.45,11.42,17.63,108.9,0.2202,29.02,98.59,142.83,22.35,89.37,20.863,10.05,130.18,0.054,21.84,101.32,0.071,13.83,100.46,0.071,18.48,114.77,0.071,25.72,119.44,0.061,29.08,133.72,0.269,20.75,88.54,0.234,14.9,93.35,0.341,14.3,101.86,0.207,12.83,118.3,0.289,10.77,94.27,23.1,27.8,106.85,22.99,14.94,109.75,23.15,21.96,104.34,23.08,24.24,22.88
OK,25.74,61.28,61.62,24.85,61.34,11.35,26.51,111.2,11.33,26.4,92.89,11.42,16.16,98.38,11.4,13.3,111.98,11.45,27.74,129.67,0.2202,18.14,103.42,-40.28,14.23,99.16,-40.494,20.84,108.52,0.056,23.31,96.03,0.071,11.14,103.83,0.069,11.79,102.09,0.054,19.28,90.25,0.059,17.82,59.42,0.229,24.18,101.11,0.187,29.56,117.59,0.447,14.42,121.08,0.229,19.91,112.18,0.237,14.44,96.43,23.1,14.75,93.07,23,21.74,103.79,23.15,16.61,111.65,23.06,17.57,22.92
OK,27.99,120.53,53.52,29.46,87.67,11.33,22.41,114.67,11.33,16,74.28,11.39,19.5,84.12,11.4,10.16,114.86,11.4,25.68,111.49,0.2208,10.87,106.48,119.02,19.29,103.71,-22.199,13.6,82.94,0.044,11.74,99.99,0.064,13.97,84.54,0.074,12.59,130.87,0.061,20.5,74.24,0.054,13.71,107.17,0.299,26.56,87.4,0.185,17.63,107,0.309,28.64,75.89,0.195,10.32,108.18,0.232,15.67,89.56,23.1,22.97,90.56,23.01,10.26,104.14,23.13,14.4,97.86,23.07,13.23,22.91
OK,24.95,99.65,53.49,13.09,110.4,11.31,17.21,98.72,11.35,12.73,104.85,11.4,12.48,144.44,11.45,21.85,122.48,11.45,16.08,121.1,0.2202,11.63,99.68,129.4,25.04,77.2,0.719,22.9,82.57,0.046,17.48,84.59,0.056,16.9,101.47,0.081,26.19,90.04,0.051,26.73,50.38,0.061,27.22,87.84,0.274,29.4,110.33,0.19,27.51,84.18,0.365,24.05,94.5,0.195,25.26,97.84,0.212,22.42,101.47,23.06,16.46,81.31,22.99,21.84,89.11,23.14,27.63,85.42,23.08,29.59,22.93
